regionID,parcel_name,FAT_left,AF_left,PTAT_left,MdLF_left,SLF_III_left,SLF_II_left,SLF_I_left,C_FP_left,C_R_left,C_FPH_left,C_PHP_left,C_PH_left,ILF_left,IFOF_left,UF_left,VOF_left,CST_left,CBT_left,CStr_A_left,CStr_P_left,CStr_S_left,CTh_A_left,CTh_P_left,CTh_S_left,OR_left,F_left,LR,FAT_right,AF_right,PTAT_right,MdLF_right,SLF_III_right,SLF_II_right,SLF_I_right,C_FP_right,C_R_right,C_FPH_right,C_PHP_right,C_PH_right,ILF_right,IFOF_right,UF_right,VOF_right,CST_right,CBT_right,CStr_A_right,CStr_P_right,CStr_S_right,CTh_A_right,CTh_P_right,CTh_S_right,OR_right,F_right,regionLongName,regionIdLabel,region,cortex
13,L_V3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992488262910798,0.991549295774648,0.0,0.966197183098592,0.0,0.0,0.0,0.828169014084507,0.0,0.0,0.966197183098592,0.0,0.820657276995305,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_V3A_L,13_L,V3A,Dorsal_Stream_Visual
14,L_RSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0544600938967136,0.923004694835681,0.99906103286385,1.0,0.997183098591549,0.954929577464789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,RetroSplenial_Complex_L,14_L,RSC,Posterior_Cingulate
15,L_POS2,0.0,0.0,0.0,0.0975378787878788,0.0,0.0,0.485446009389671,0.976525821596244,0.0403755868544601,0.0,1.0,0.0,0.230046948356808,0.165258215962441,0.0,0.00187793427230047,0.0,0.0,0.0,0.76150234741784,0.0,0.0,0.966197183098592,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Parieto-Occipital_Sulcus_Area_2_L,15_L,POS2,Posterior_Cingulate
16,L_V7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987793427230047,0.848826291079812,0.0,0.96150234741784,0.0,0.0,0.0,0.502347417840376,0.0,0.0,0.609389671361502,0.0,0.224413145539906,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Seventh_Visual_Area_L,16_L,V7,Dorsal_Stream_Visual
17,L_IPS1,0.0,0.0,0.00187793427230047,0.373106060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.338967136150235,0.0,0.826291079812207,0.48075117370892,0.0,0.491079812206573,0.0,0.0,0.0,0.896713615023474,0.0,0.0,0.949295774647887,0.0,0.00187793427230047,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,IntraParietal_Sulcus_Area_1_L,17_L,IPS1,Dorsal_Stream_Visual
18,L_FFC,0.0,0.392488262910798,0.421596244131455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187793427230047,0.855399061032864,0.294835680751174,0.0,0.752112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Fusiform_Face_Complex_L,18_L,FFC,Ventral_Stream_Visual
19,L_V3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780281690140845,0.513615023474178,0.0,0.99906103286385,0.0,0.0,0.0,0.267605633802817,0.0,0.0,0.0948356807511737,0.0,0.102347417840376,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_V3B_L,19_L,V3B,Dorsal_Stream_Visual
20,L_LO1,0.0,0.0,0.000938967136150235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128638497652582,0.0413145539906103,0.0,1.0,0.0,0.0,0.0,0.00938967136150235,0.0,0.0,0.000938967136150235,0.0,0.0028169014084507,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_Lateral_Occipital_1_L,20_L,LO1,MT+_Complex_and_Neighboring_Visual_Areas
21,L_LO2,0.0,0.0976525821596244,0.446009389671362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395305164319249,0.092018779342723,0.0,0.995305164319249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_Lateral_Occipital_2_L,21_L,LO2,MT+_Complex_and_Neighboring_Visual_Areas
22,L_PIT,0.0,0.164319248826291,0.430985915492958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780281690140845,0.340845070422535,0.0,0.91924882629108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Posterior_InferoTemporal_complex_L,22_L,PIT,Ventral_Stream_Visual
