,action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical_memory,balance,belief,categorization,cognitive_control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision_making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion_regulation,empathy,encoding,episodic_memory,expectancy,expertise,extinction,face_recognition,facial_expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language_comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory_retrieval,mental_imagery,monitoring,mood,morphology,motor_control,movement,multisensory,naming,navigation,object_recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement_learning,response_inhibition,response_selection,retention,retrieval,reward_anticipation,rhythm,risk,rule,salience,search,selective_attention,semantic_memory,sentence_comprehension,skill,sleep,social_cognition,spatial_attention,speech_perception,speech_production,strategy,strength,stress,sustained_attention,task_difficulty,thought,timing,uncertainty,updating,utility,valence,verbal_fluency,visual_attention,visual_perception,word_recognition,working_memory
7Networks_LH_Limbic_TempPole_3,-0.5893697109294361,-0.2675707179933399,-0.3149651845875205,-0.44504506001095684,1.1692453585990912,0.8389743026812508,0.044837700525251545,-1.2181521163163276,0.7553928246895986,0.045027050493516296,0.004487390956603763,-0.13251299434704608,-0.4454050663672861,0.13592074547839397,-0.10698120563069992,-0.03461709310140581,-0.052200679502439035,0.3070581703926982,0.3130880925453194,-0.7156391049046598,0.01646402933677003,-0.19952410918070085,0.03169251061367458,-0.09115799697769915,0.29177506706325307,0.13133180407560535,-0.18924437981890324,0.01063862533761757,2.829876669449115,1.2843005968262335,1.148118628574798,0.718369431815687,1.0085047993084828,0.07831964336707672,0.12887010552199168,0.4659392251328869,0.7302885122986105,0.15890038713279261,1.3109318849299396,2.534123353466324,-0.14806770293939925,-0.000481454669880692,0.15362141039359678,-0.11490536697759973,0.06516015126839772,-0.3318484840394733,-0.3035730672539049,0.29963241229172627,0.0166647577355531,-0.47893682304036883,-0.004656829381066299,-0.19032119105624593,-0.016150203135740657,-0.13879994177851054,-0.4232361386790908,-0.15517920383624556,0.13184823659490946,-0.1916533201230563,-0.1300460840447842,-0.14557445841759067,-0.32859733636618343,0.1034740643023257,-0.047816774583857705,-0.45870571070453986,-0.1167187153369257,-0.3365703770000365,1.5456156814798427,0.7197517067980767,0.5631301583976489,-0.6154796577817613,0.6518582098290538,0.2641335865336606,-0.6611203757523272,-1.8692789753271393,-0.2789169358635719,0.26374892149571794,0.3459230125676754,-0.20764175806532342,0.554911001122375,0.16182686932331292,-0.4467198225697742,-0.30979307710542814,-0.17499449622660387,-0.4167525693147172,-0.17012151751615084,0.7128851464345486,0.6165838754613467,-0.3011058451576209,-0.06320519138857204,-0.5102351525757076,-0.025703789660366686,-0.09236812999687666,1.4655121138385034,-0.1231142158456138,-0.09270077135927422,-0.29500061319888404,-0.378155988828323,0.4093354807767751,-0.08010057218730672,-0.2196252405434747,2.2937375843370544,-0.21656654180151338,0.19563724817572986,-0.013606679387865438,0.1414490595614517,-0.503299597396108,-0.4124419353577083,-0.04850602278148464,-0.01022836071394637,0.03970493990920817,0.5199877458753913,-0.05771850649482662,-0.1750041015185507,0.6962159693728802,-0.34135699554730414,-0.030648684860234407,-0.10626101678642855,-0.09808212944927296,2.198349280726013,-0.17193607476054837,-0.3625844315170457,-0.15132511584477096,-0.19162949569974974,-0.8768465401695635
7Networks_LH_Limbic_TempPole_4,-0.4293660336977887,-0.4525303727549243,-0.31483511499940403,0.12462904800175574,0.5922734888386885,0.7342206879842055,0.04250786050018396,-1.4568618182958148,1.4681804237977782,0.0154841301008524,0.3290245988204421,-0.09255809273170773,-0.3620232711206191,0.5668285986997532,0.10596841317753987,-0.004122034814169169,-0.13125586458779454,0.591771726520757,0.42488189127494375,-0.7079370794487004,0.013425813523500925,-0.3472686955080319,-0.2397211531633362,0.11206942504511914,0.012103877803029848,0.4344269503160864,-0.16510029821268798,0.04215850383176747,3.143549652727761,0.9758745424407236,2.1534299008417253,0.9006497569614371,1.2500952845354456,0.3454631065372748,0.09252968497129845,0.2846295032904607,-0.29487274578726713,0.10100477398380851,0.06100365514550385,1.7128702665269413,-0.030247022873227055,-0.00020402448865627595,-0.159377413867424,-0.18620286766419128,0.16544359098043773,-0.5078294737022951,-0.32237310996302193,0.08459351006974157,0.32081743018669134,-0.6191556626959958,-0.03648842801937709,0.6356465154476227,-0.05135622918743828,0.04766353604846192,-0.3795234684119582,-0.09110057828633844,0.18481758597172207,3.357042015787164,1.7985963432960528,-0.22042134030620414,1.2035137154824866,-0.33631474546196133,0.48538784106408617,-0.1467025744045441,0.012046899580430197,1.680750092076782,1.0661644722929136,0.5295342229558212,-0.15170336443493437,0.2225880854660291,0.28144291642783625,0.15094723875860758,-0.4896679092126629,-2.3435808492952974,-0.20507549595992985,0.47359995360483975,-0.33136136222014717,-0.6397244658700639,2.915098228443588,0.2690637048258902,-0.565220083537868,-0.32169938973483897,-0.08563436395549574,0.9184054597384124,0.05359564647285943,0.4848067411822733,0.21746292918916674,0.053977935874534165,-0.05252346839476471,-0.020423556965470404,-0.27798504481828235,0.053514342518010245,1.5094115510720423,0.0710159947361797,0.16986994431107177,-0.5974749881459123,-0.024804300814251612,0.6546320928030064,-0.1179014791653448,-0.2821365171425869,1.2025129756652693,0.10260507758760225,-0.10939188752471911,-0.02432703096810657,0.8135945176829132,-1.2313190784520838,0.7465333601315144,0.3101136932273856,0.033308524352306704,-0.018236893552872443,-0.04511372949429654,-0.028969770644197833,-0.10676370756179139,0.7676885902674939,-0.0703338914455687,-0.14163011969669925,-0.3868851989402988,-0.03868336903581711,2.2297692832808917,0.06712370150246139,-0.45311097377956355,-0.2279402213067896,-0.0026142867863893963,-0.9806804380287282
7Networks_LH_Cont_Par_1,1.6489320022672764,0.23538012210658013,-0.6330816764337815,-0.611611328901104,-0.8793752510241326,-0.46101773585536504,-0.17294979778558436,0.7200920145984273,0.12098345297596969,0.09671704819870151,0.9562452894286217,-0.04263701279753117,0.8460624618611791,-0.16406601905647528,0.16416224528090995,0.0027440293411403675,0.0609679723019758,-0.06077201261843521,0.2731346660595146,0.09834899055460047,0.6967414951861202,0.376385631993367,0.36923347708865817,-0.06326104439918051,0.013283273291823,-0.36526517953852367,0.3601349558201233,-0.02965429226307036,-0.22941768327761403,0.143082938126595,-0.048852825562269685,0.8508508424355262,0.7033818342715707,1.4098164381710407,-0.054640886752336214,-0.394373750181055,-0.9535647902237167,-0.2660351366768375,0.8941807965638271,-0.8722341778661981,-0.1557353402983625,4.263125997682523e-05,-0.3915849576999084,1.0624098728551112,-0.10019094745640986,1.2055942503669983,-0.2557658003357048,-0.16491186991974915,0.028048629623181304,0.15712307855251995,0.01792904182540287,0.18219091153231914,0.05490371715390154,0.5931074277035251,0.45423035074797935,1.1707981613517442,0.4283167509243117,1.2409368215899985,0.12949884383843457,-0.3047934030678757,-0.019243981756495082,-0.22382447402662986,-0.6528204376521222,1.2800321368817704,0.8574833699746944,0.5236056116647435,2.7955572845511907,2.7898394552231975,1.0704808193774373,1.6311327934111652,-1.1315808634025364,-0.6319261702023163,0.2104561500682091,-0.37816149546298505,-0.17803911269053696,0.16538415400906278,-0.07493099042773455,-0.2642792762156241,-0.45344465958899566,-0.04950671657985326,1.0898962383258277,-0.2694052042320637,-0.38597343390510647,0.7161254353505905,1.5409960593935979,0.014845874127021541,1.596498893965257,2.391620324345439,0.13390679499756217,0.7204638307959222,0.5410247260971345,0.4644408879695231,4.221949362245008,-0.19040385167870252,-0.09201330740358074,-1.417085754072908,0.4649059046837172,0.22597188981894248,0.08718137671478714,-0.2924016536421678,0.31776566432215453,0.08951171721475108,0.14418170954982779,-0.31790743394138093,0.3668898731336686,-0.422454343091722,-0.13207831691275182,0.24544028912917018,0.3672641219716881,0.04413991420071702,-1.1260687799843143,0.002299831843461475,0.3306654632181816,0.6482429954023713,0.09515513420386387,0.36716696535264515,0.1185805391746439,-0.09040248289588126,-0.6447894045712694,-0.19766068851246466,0.25265726388587856,0.14470797824876705,0.10707342442200685,2.4584242363429083
7Networks_LH_Cont_Par_2,1.5630502493193754,0.11004639962945333,-0.5874615829648798,-0.8113053281732149,-2.1196839270852923,-0.7491133501216367,-0.24974860562667522,2.685015308978232,0.21044891529219542,-0.11913346673032765,0.06237952173816405,0.2492696119518167,1.3968714892682117,-0.445982284514994,0.4920580350985552,0.03268156474502797,0.016856985680347193,-0.15681076845773018,0.08894531398299128,0.4335868322183664,1.074582507479425,0.42124678042962943,0.2721231328109623,0.06858586884204278,0.06966552636395974,-0.6503523122163941,0.2530166894364107,0.07907411384396618,-2.5746271299473587,-0.6694633734651668,-1.1039883568833868,3.017197591618699,2.1753381972130574,0.4351869957163892,0.2638419938986084,-0.5958769832502335,-0.8662094116106134,-0.6794339774648769,1.811455760829172,-2.3053310211072566,0.29357552616157406,4.860246020964981e-05,-0.1379564227385942,0.6287261646539063,-0.2380646112428025,2.00430272283703,-0.4031754496956899,-0.20286616590646261,0.040637904777511835,-0.30421361477380404,-0.06098857833016862,-0.022477841185086483,0.0015167092389131863,0.026611467074157475,2.391275842520162,2.2375957122118515,0.3746206298423621,2.4893580312885306,0.13405893986093212,0.4094016582924966,-1.0104526050160636,-0.16276918207286875,-1.1168903566005548,3.19378087152116,1.3820607005077223,0.670003922766404,6.2281493757690765,4.303583743642612,1.452364797017646,1.6085860892887018,-1.4852199393820722,-0.6461119203390017,0.22139208626151038,-0.14708900595463065,0.18202511621874148,0.9424200735017674,1.02675479943804,-0.021091907452292846,-2.301455376033244,-1.3103499598400323,2.3027721015677085,-0.25285784339638684,-0.5779206718634877,2.8651212196563147,0.6000468197150232,0.5972126616660903,2.1552708942991248,1.6900973207753585,-0.11737122787140793,0.14098710338082507,0.3435302409642044,0.9296420522624013,6.340243324635283,-0.43867665446188114,-0.008948787706286607,-1.862919467539968,2.542829518773335,-0.1610230271506469,0.3700030252222458,0.7017545686881275,0.4025432881026487,0.252154614056627,0.4485083362744966,-0.2825299884252137,-0.5683454947909241,1.0392139469454114,-0.33768302526053473,-0.0509770354518362,0.5206598776991073,-0.004268315881777567,-1.7020994259484599,-0.01676492746129901,1.2778655967383694,0.17505020790924256,-0.3845503201151896,0.04116362342745699,0.3094274617536761,-0.08463660066622075,-1.1856862417792418,-0.10728085927446117,1.1756712411140615,-0.0681694053238511,0.1856116051164091,5.684037585209023
7Networks_LH_Cont_Par_3,5.641982146344336,0.4439229085059445,-0.8337322025623514,-0.7669480651179079,-2.396189906337215,-1.076528097479402,-0.6673582258764201,1.3437715550697087,-0.8267608062072381,0.03282357000832003,0.5151162308649907,0.18184145856136832,1.3704915165362435,-0.38209208734798256,0.2540305409012106,0.030737424019838814,0.020335517127785616,-0.18211483075595433,0.2031287034527676,2.805448996320927,0.3466541262965665,-0.1340485937276203,0.4773370739304279,0.5358524821446042,0.0019770644213359294,-0.5065621332883223,0.3211969471259074,0.16390360524925307,-2.9587920860925614,-0.7923352676770131,-0.18919172761713154,0.5647450552326476,-0.3420586109598264,0.791760023423489,0.15934081032314368,-0.8951459053124322,-1.1115529782687001,-0.64289974905513,0.5718051673233335,-2.837147916717174,0.2628335283799225,-0.00031060241356594255,-0.04765082432878212,0.8682869823900196,-0.2367126010807458,4.085406936002767,-0.8155430106686843,-0.22492127916896992,0.004968036200879818,0.1231306969715238,-0.02177590883912448,0.2720922202304489,0.015369881033435168,-0.05729621958006611,2.4658118295308027,0.5529674037897647,0.024120187138904015,1.0943980944617604,-0.15639287948790168,0.2936520623198625,-0.2690121373582876,0.3194405955104657,-1.486946715743806,2.3227111145789627,2.3834729624665436,0.4259852757641723,2.328478173033772,0.5316976473267632,1.7762807429731546,1.3681616007071202,-1.6545528509178211,-0.6294141072227473,0.7691012136257822,3.168887359782147,0.7071142314655379,0.008398989866924623,0.29581323024601297,-0.19500350031409314,-0.40125272360064346,0.10659142153014833,2.551664048509063,-0.6445251808708392,-0.595231529891532,1.992619345097146,0.4794748462101547,-0.0736314171245844,0.42121433465029184,2.9781905910967814,0.05531185328056116,0.331987301859219,0.8584388109175124,0.19096809776486137,1.0276221402796388,-0.6319174142260112,0.18074095598176873,-3.39259874730393,1.2889118459790907,-0.2435428015622959,0.1426856632323236,0.388579045763203,-0.07914346354577399,0.15188704644090917,1.6561858078021134,-0.6184662313738851,-0.143385747570155,1.1830543487004,-0.5239726358773523,0.12651375986584829,0.24094959748706438,-0.055594315614949805,-1.75323847977877,-0.011293993331924988,0.9917779892657724,0.22299353478041664,0.2933249943745632,0.34071021818957636,0.9409554616536847,-0.12248880709027958,-1.149574741933474,-0.1409406537114348,0.39712858565615655,-0.06431844191473299,0.1964931461469884,5.701288090692178
7Networks_LH_Cont_Temp_1,-0.22793877619842745,-0.5219964790651832,-0.15396257214993234,-0.48167051264842536,-0.31631669635084025,-0.007815826905243961,-0.03338440886993297,-0.328502183614627,1.5421874695457511,-0.06083476633125645,0.07513572394742242,-0.08040451290206682,0.2280157067381187,0.06296107471211573,0.5822321450198726,0.04392373473214532,-0.04321838039032825,0.20041405787063454,0.17411595810013003,-0.7752970663722492,0.649093358633674,-0.049349625402950854,-0.18223350903033855,-0.17177933425707947,0.10266104141396258,-0.27108624723388247,0.13853088346820985,-0.04492414136066116,0.07168037579131817,0.2379005300026579,-0.2969507502170354,2.460469717430727,2.1159047344183888,-0.03511356366187916,0.3280680178231359,-0.1278462001630562,-0.3528054239365907,-0.025079644318317402,1.962745250837603,-0.3519174739381805,0.3700386501425227,-0.00017419541198839997,0.11646730378264909,-0.009048714953080383,-0.11214463637184635,0.006942709915197997,-0.20511429009005075,-0.05424260898890026,0.11725285288465656,-0.9806533954771187,-0.05648117291875273,0.34513170606109905,0.08643749545339088,0.102496047337572,-0.15939551932759027,1.9212958372618012,1.7695736298862352,3.7662723021137428,0.8944491003408425,-0.4411706459568505,0.8506410580388947,-0.21070698633597948,0.18605032307847935,0.0009303540185305333,0.01915509991882094,2.845978811267323,3.4817387417436354,1.890048299040216,0.4023927958739186,0.20927823583489047,-0.5253000911428681,-0.13365740406003268,-0.32275642724191994,-1.9718597545759249,-0.35272209008360395,0.42148833729595375,0.14488493946339334,0.004848477567256852,-1.6407956111349156,-0.15261554162128324,-0.5247389118609381,0.19875175109683138,-0.2417799708308279,3.885648322958954,0.09604674576473773,1.4549706629088126,2.0049033030000887,0.07536057483433985,0.07879735119336854,-0.5497667808282864,-0.12049494975281197,0.17329466865818707,4.908980742983884,-0.16928265847520535,-0.15657412024997222,-0.6175016716532302,0.2854102219019162,0.025277790065689504,0.16554557490575347,-0.11914809407039584,2.955663816794463,0.755778313163624,1.1212426554723367,0.036164966533767266,0.2854967616721127,-0.6777562292544672,0.8761388061390859,0.5765904353233597,0.27150483499894335,0.005503056835020017,-0.3276058604498412,-0.003867305466438714,0.06490391514148587,1.279275690734862,-0.2952722315155606,-0.06922993383250393,0.1082452708789495,0.08043074039121784,0.29796697454534443,-0.07123052687676512,-0.0398124514137654,-0.10463425620190679,0.986606835147871,-0.8069180408527876
7Networks_LH_Cont_OFC_1,-0.05175670517531227,-0.5769920429954342,-0.06708516723645867,0.053744667542409315,-0.529303774316159,1.0356991737401946,0.09941220848903068,-0.90900558800392,0.7216066376619513,0.05412282323891265,0.5066595335083095,-0.2201545315082739,0.11408498227403996,0.1819891852187183,0.4111103889264008,-0.006806779239903193,-0.07181339478206994,-0.10962939284686064,0.40072943479975925,-0.4176710602319499,0.8591955031304698,1.0905151955282602,-0.056982102854885815,-0.36101665001783373,-0.07011116785105242,0.41470930646144955,-0.07711323298180854,-0.09967366997684707,0.9568915273427766,0.7777929252880317,0.2544533129790172,2.148159353067437,2.8119058624427473,0.11290952488633532,-0.028031473714576448,0.24791471856858144,-0.3385513582930657,0.017909372331363964,0.9878018340928143,0.8728625503593501,-0.051798957414613316,-0.00041534364996572283,0.14302809135602015,0.217975810022206,-0.0019091539117244746,0.14894860261625098,-0.07058368780250907,0.020709652092957605,0.043275596246470975,-0.2868774998181382,-0.008724563321542301,-0.06823247127123418,0.10155171106973226,0.39556821129816117,0.10682538824524673,0.861097843256362,0.2410922314543904,1.871829748623041,0.278190230247917,0.39917725679876553,-0.10139032848594932,-0.09140651850274756,0.41949135570829105,0.11474657546982056,0.06911287879874058,1.5706657974919107,2.0049078995237637,1.2915750894509168,-0.011877901004731222,-0.12981391378533447,-0.0025274842386234075,0.15376784850913927,-0.6361211908774519,-2.017637985950606,-0.3593718772321565,0.38752471906688324,0.3256580112905295,-0.46339669127848127,-0.12915646251511576,-0.42479483283488406,-0.13318738667426946,0.14187487209026114,-0.31319244636919635,0.8886466857877426,0.7947140863123463,0.6126593265469911,0.22754102404195836,-0.14500765413832303,0.022306007886915218,-0.2308061066064578,-0.029561051294515632,0.16338445633736395,3.1682858624949093,-0.02352092830704267,-0.36221943562296344,0.19544008193221757,0.17894400769549643,0.12015883203085558,-0.09270230519674631,0.04612221093826259,0.9481820586085221,0.11665688598896126,0.2887045413083012,0.04821394436994968,0.23000926943433259,-0.5522612753023256,-0.07511494662367517,-0.09297380637680278,0.4533816992764603,-0.03655276286934588,-0.0931989623811606,-0.03947248419445894,-0.16069902369394654,0.3212378299425959,-0.42280863738003305,-0.005871571041091631,-0.14502011927860578,-0.07863655600081602,1.5139989747794365,-0.08341654798658972,-0.43860103341588547,-0.0764579115908353,-0.035128356562820186,-0.48235486294342766
7Networks_LH_Cont_PFCl_1,0.6506776738918469,-0.5248839283607384,-0.09374736939219395,-0.14629932540805868,-0.8135882710082328,0.269851020656608,-0.1440513321129794,-1.0356159402621998,0.7299353906517645,-0.015055152542324021,0.16032528625683887,-0.16187649083413277,0.5836856720286414,-0.11031258915598362,0.06519758913762111,-0.002321786314090381,-0.04324787866308207,-0.20069829995165828,0.4642050879569473,-0.5680550588198707,1.4730495289394172,0.9962904573924721,-0.13533874769028367,-0.17269577840316602,0.011230292272111243,0.10986397529618341,0.02913449612244413,0.015826790246676145,0.1413705247456084,0.9783660828584495,0.3977408382138346,2.2877294649727844,2.2198652126372314,0.6011741336311086,0.10760664348709784,-0.06959000200574676,-0.736414943275666,0.16626935351779717,0.5357476386334148,-0.06593645692402855,-0.1680127778723034,-0.0002818668650143288,-0.06031882012773864,0.2930654771018187,-0.06921134028708897,-0.38048806211634556,0.01777526189496061,-0.035275060057002795,0.20551933239121797,-0.5203426562333979,-0.04090505618957589,0.16013766583315373,0.06815925439940526,-0.07838605105279502,0.12339176773094715,1.6888100492687659,0.8975456019291412,2.5255882093881477,0.8607048468331391,0.4915101013166656,-0.40941258405443026,-0.16712141056002178,-0.1289990330886615,1.041643814871756,0.45104155367523485,1.0687539877165568,3.3556930323027103,2.161202940038252,0.07437941124481723,0.1391609077490568,0.1316480118915446,-0.23510870921213825,-0.4675038486907773,-1.7739847168487843,-0.595429222129507,1.0034601311788378,-0.39256204465368527,-0.7364300679961377,-0.08383403496838161,-1.1562765940486301,0.9265500717853303,-0.20831469080656437,-0.22869533602928532,1.5337414523637845,2.6105060613622166,1.1229182703559886,1.1555597097253705,0.3552697543395941,0.1296550983221286,-0.10545746978690738,0.00800410975522317,0.11882927348024305,4.958025232181146,-0.21785124365330663,-0.40230840625022246,-0.5375556207447281,1.7931969411817812,-0.04610624671643286,-0.1003542713781139,-0.04558594750107951,0.6621376991228561,0.4782255441352574,0.8647215097520555,-0.13025534834455738,0.3758586922145189,-0.9223784988760285,0.025697414365291226,-0.2134287269962024,0.7233335655012209,0.0900985840660555,-0.2514882289207629,-0.027600479596285855,0.25877412604554456,0.19360105660165572,0.029966020921848597,0.042088790894737944,0.05975342339720441,-0.06250935678696566,0.8047783023369073,-0.12981026920775632,-0.18076810310081295,0.08803923902021983,0.10911777968737714,0.9909403674483832
7Networks_LH_Cont_PFCl_2,-0.5470573315822248,-0.6010411994371008,-0.06985975894921745,-0.38423452057350027,-0.14122509396581967,-0.28603495183884553,-0.07618181337355849,-0.35813315625760805,1.0281221135842658,0.020264428353638734,0.08952564103886985,-0.17968277182583045,1.0202834762292312,-0.13710774440251605,-0.018583266290367037,-0.05477949124307708,-0.006867830313792656,-0.012497815068838673,0.21003047518517576,-0.41093893504331325,0.900584215014156,0.9831631872908989,-0.2617119859942664,-0.017219307211434255,-0.058414343295382844,-0.2287958670983147,0.014594584507225188,0.1062709734083257,0.5234705532523561,0.6236248986731472,-0.1508107297148715,1.7628467529015674,2.475024934732936,0.3237817174147438,-0.3827488835089965,-0.02612417716607936,-0.4499998854857929,-0.1593835297964042,0.6459839173117762,-0.5753655693204143,-0.04172715956982814,-0.00027182716056364326,-0.22475353853056707,0.28946124310425014,-0.08911537078890501,0.47624221393410915,0.2198997279559462,0.06282369828015436,-0.10833477714122298,-0.0987451831755173,-0.05571393669247633,-0.29322586158418357,0.006669145504685005,0.12292321492995908,0.46421339838743875,0.15028260602868776,-0.04097475865161422,-0.4778187972735485,-0.36907576879655013,0.05450213320581339,-0.3123369003691826,-0.2335216170960538,-0.3020398852064555,0.7476174106213933,-0.20282706639637912,0.22695678604519026,4.35161675551611,2.601903201291988,-0.041445822329458204,1.1096925354559346,-0.04080551825209811,-0.1370955598605795,-0.39799162637906665,-1.979015898119123,-0.6175006766093465,0.09622224156925042,-0.05285043457099422,-0.7725464473623859,0.7886617134347546,-0.40584959643767227,0.8997890698028438,0.03740333005420594,-0.34893382659059624,-0.9967993341350181,0.6395320186217367,1.02922375429454,1.0804553563362804,0.10972115368026579,-0.11392952623624569,0.0746549637463152,0.032977259553817445,0.3366143184017288,5.091370190845963,-0.22133460871903984,-0.2814505487884145,0.029588494958262785,1.1299047515530523,0.3069819231938908,-0.005819391108813777,-0.24809567122783766,1.4325102639086116,-0.039008599027106974,-0.14934318782763376,-0.053371057523980935,0.7924084718486234,-0.802403724606008,-0.26500851089811917,-0.23148911004495104,0.09212219911347647,0.049407082239397604,0.048865872049560846,-0.011604139270914589,0.23921427206563675,0.24274793259594193,-0.11136760500297277,0.11150500861872778,-0.1349161524136848,0.035264011240100576,-0.046698232556618834,-0.1441439619808189,-0.0550594883665088,-0.13201745179490623,-0.29376124541862064,2.014115872030128
7Networks_LH_Cont_PFCl_3,1.0920135243579174,-0.5509705201090597,-0.1319610445734129,-0.13649037400224112,-1.2694990039957286,-0.08840969006262786,0.005989734141048478,0.10084441000349452,0.07571714787874556,0.08307388515935699,-0.029424345944387798,-0.04122517238698049,1.69658494005916,-0.13303587092691427,0.47345478561092674,-0.007701582609779257,-0.07056061771925395,-0.1636659110534116,0.2242019012596831,-0.17180162790965037,0.6768411629187611,0.35598297789273853,-0.24890736197108881,-0.02810439096761001,0.17310067526745762,-0.1854150077189417,0.13047826089791945,0.14699156842247224,-0.8204150095231438,-0.07129840936931367,0.1622191334660402,2.591651978764874,1.7330719526941656,0.06599553108872154,-0.048897286459561616,-0.04137157531945276,-0.5988241450675066,-0.1871494126674698,0.6513027541599368,-0.802036766876018,-0.1268293583444949,-0.0003930959671015595,-0.6145131982848332,0.23454345973782378,-0.11017411959161046,0.07166751694070454,0.04938563559407161,-0.0038648930035945976,-0.22098678705166042,0.48428382098493816,-0.047394782598369725,-0.03987184778058821,-0.02481953590130425,-0.1410240809671513,1.548733517392809,0.6574477139235877,0.6157184731985907,2.299087733280721,0.6113257862015458,0.3316950293014469,0.06482977396039086,-0.35742208249286705,-0.7179050873740295,1.3009006081684964,0.6138761436599852,1.430397841838841,4.587132375083177,1.7162996675377826,0.013956229112020296,0.7649473105237405,-0.42221213668666335,-0.42728205846151845,-0.3148226665946771,-0.9866551144261049,-0.04596296720557908,1.4217361669031694,-0.1802847381267109,-0.8391769120997478,0.34206866831947336,-1.5748790285425633,1.201910143595785,-0.23425058956632389,-0.16435537055487734,1.8741838443680883,0.6492631194472599,1.383687232422789,0.7155702141722264,1.15184402190737,-0.06410343326367465,0.896880528279966,0.7332277745286996,0.16492930909121353,4.84450921179242,-0.11628000895110707,-0.1484045612520208,-0.8730053239089131,1.7395953438886893,0.1385908778057003,-0.10997057322408038,-0.10512608573601241,1.6962320207574995,0.5560756728421101,0.6965423048395601,-0.21050318827524364,0.08662472608540034,-0.8964692080749681,-0.3466661834792954,0.007891833396140698,0.11337187675817201,-0.021704586112952173,-0.7619342232825961,0.007713098674818434,0.7329830376462861,0.45257834158303356,-0.20889571483943215,0.0046143569411274486,0.2307445751278854,-0.08478537805764264,-0.10954506650884697,0.5096066503696469,-0.03103999663115656,-0.25718738853733086,0.1577818852366512,3.9404847282360613
